Country,Gold,Silver,Bronze,Total,Gold_lower,Gold_upper,Silver_lower,Silver_upper,Bronze_lower,Bronze_upper,Total_lower,Total_upper
Greece,1.365672650935447,0.4989696854636771,1.5907828353700175,3.766873189381188,0.0,6.394427949492217,0.0,7.760790134949652,0.0,9.251990222540448,0.0,22.52824609433862
Ireland,2.777546763420105,0.072613515195232,0.8912455817063649,3.735887281066173,0.0,6.374020322859383,0.0,1.571630887908984,0.0,4.748235224568898,0.0,7.879438467985455
Algeria,0.7959945201848218,1.015221832336039,0.5194866049327103,3.6121910810470577,0.0,2.709818116909608,0.0,2.9928981790594387,0.0,3.926907759572973,0.0,7.4955290859072194
Thailand,2.187563696093894,1.8697138230005903,2.2608548599218423,3.464223980891558,0.0,4.882403600016906,0.0,4.389165457001597,0.0,4.849626753021502,0.0,9.155747021814255
Indonesia,0.6831244822921496,1.56368165244567,1.7990425288677216,3.4388201832771297,0.0,2.225084049693756,0.0,4.351871522736484,0.0,4.998640550717118,0.0,6.814912607937524
Chinese_Taipei,1.8709210921910733,0.2684661149978637,1.588773202896118,3.3701386809349057,0.1371520126515041,3.624238427376469,0.0,3.821694211139836,0.0,6.57053967778437,0.0,11.542435600546051
South_Africa,0.938663238286972,2.353867757320404,0.7121511578559874,3.111827850341796,0.0,4.165394530857494,0.0,6.046622180593921,0.0,4.699193411638911,0.0,10.33461430237203
Kyrgyzstan,0.0,2.840380872261484,1.0062361359596252,3.0002521276474,0.0,1.5006441121173331e-05,1.2151016100887808,4.54434870808332,0.0,3.9695344720573353,0.0,7.335158396347577
Slovenia,0.8846035623928177,1.5839692848674125,0.3509472741021049,2.9721783456711357,0.0,3.698002664242099,0.1081848124633835,3.0301995475466827,0.0,2.8912782155333776,0.5310092934307046,5.321509616198608
Mongolia,0.0003322588454466,1.0924850793060528,3.1943203148138783,2.945685826815093,0.0,1.933823253394925,0.0,3.068025224142107,0.3834073347814864,6.262159470747785,0.0,6.448184693621052
Nigeria,0.2006426900625229,1.703555202484131,2.0864928975466723,2.9029230296611788,0.0,2.1591401088490865,0.0,5.23724951716385,0.1243757412597655,3.956426825247344,0.0,7.74557793584864
Chile,0.677493242396315,0.8785123360705205,0.6216900253836501,2.891628980636596,0.0,3.4255830523593684,0.0956052693264758,1.6060900335099637,0.0,2.4725099471855856,0.0,5.981904506563029
Argentina,1.7023533362377146,1.4253569841384888,1.722555919062523,2.6446359245691733,0.0,3.956962513419428,0.0,4.123580031813469,0.0,5.129656944544581,0.0,6.266078770997112
Trinidad_and_Tobago,0.585249053086,1.1658455131799608,0.7499229515056285,2.428746422493044,0.0,2.129134984354516,0.0920381125956,2.2845082085379915,0.0,2.1712194994060967,0.0477097284112084,4.955451953245109
Latvia,0.9988962476997044,-0.0016616450415716,0.9997022251286488,2.334225008253649,0.0,2.146245391065617,0.0,4.640810531970117,0.0,2.462488936562351,0.0,5.308445915044318
Portugal,0.907966826911774,0.9162129523215058,0.6780673780321763,2.2823394213403647,0.0,1.992340889952747,0.0,3.045379380431165,0.0,2.398934809414248,0.0,4.752497646168951
Estonia,0.4356386972516617,0.7190048205173241,1.191104932264848,2.265951297499916,0.0,2.145450625104994,0.0,2.3380853310910554,0.0,3.837038816348601,0.0,6.120759153655974
Venezuela,0.7432495264491663,2.5445033826627275,0.3837438268469774,2.1074193792715805,0.0,1.8012866773153815,0.4558808856743335,4.765331426180276,0.0,3.561190174452302,0.0,4.515685457654171
Malaysia,0.0,0.3053899492536271,1.0000461324307253,2.064523906580039,0.0,1.6361771241435216e-05,0.0,4.107387806609352,0.0,2.2089097929617667,0.0,5.396992651451
Tunisia,0.768719524283429,0.051856186111711,0.6630459957378525,2.063185377385121,0.0,2.5700992159975176,0.0,1.4781158205539773,0.0,3.721601509715125,0.0,4.56601210382649
Bohemia,0.0,,,2.0,0.0,1.6960056222067366e-05,,,,,0.0,5.281902942630336
Kosovo,0.0688580251934952,0.0003361680719535,0.0003361680719535,1.9996638693895628,0.0,2.230360656896772,0.0,1.4019083533355805,0.0,1.4425204497491748,0.7268972392024533,3.264567832867311
Namibia,0.0,1.999663869171689,0.0,1.999663869171689,0.0,1.6479033432556974e-05,0.7301063600020185,3.244633871905361,0.0,1.7530747702686173e-05,0.8585334517590164,3.1453577472759897
Lebanon,0.0,0.9996638695398968,0.9996638693342188,1.996052999967426,0.0,1.5730016663348432e-05,0.0,2.1986614887118807,0.0,2.228795609529494,0.7723038608725291,3.249485219411314
Panama,0.0019735097885131,0.0003361680719535,1.9921059608459477,1.996052999967426,0.0,1.3553162830324406,0.0,1.2663955690277109,0.0,4.945824089853095,0.7261026631032348,3.2199391649959987
Bahamas,0.2568253755569457,0.4221647198115014,1.2297255662391315,1.9300431335552808,0.0,2.3849474483613338,0.0,1.841259917138703,0.0,2.465051984136243,0.2360938590268346,3.623278449111696
Dominican_Republic,1.2457699604150418,0.2100940176418848,1.3259602167228297,1.8864983405385696,0.0,2.937418137746075,0.0,3.2276046512890444,0.3610082476754122,2.233044094853853,0.0,5.393958446477425
Fiji,0.9996638695398968,0.0003361680719535,0.0003361680719535,1.7151180628247311,0.0,2.2279772119856185,0.0,1.2642619014769634,0.0,1.3637199923686096,0.0,3.772521807565886
Jordan,0.9960529804229736,0.0039469995031337,0.0003361680719535,1.7151180628247311,0.0,2.3336100419405867,0.0,1.262490339187484,0.0,1.2515435925262215,0.0,3.722263393577277
Ivory_Coast,0.6081119179725647,0.0001028283804771,0.9998971816276816,1.608111798384572,0.0,1.748360564043597,0.0,1.0775110657493654,0.0,2.123264538677304,0.5767662430677253,2.6405760148428103
Austria,0.7316812138866498,2.112182056297282,1.2940700150209652,1.5735950999789772,0.0,3.642440310063524,0.0,6.477822517999184,0.0,5.25302964921719,0.0,8.93450767431591
Moldova,0.0,0.999687915923347,1.000095686608126,1.192113338055763,0.0,1.6599556930981907e-05,0.0,2.2259411727609018,0.0,2.960059376756048,0.0,3.363110062298761
Morocco,-0.0030917137408349,0.2587725310377761,0.50333042939504,1.1154288450876877,0.0,1.8137011611573275,0.0,1.4627658601955242,0.0,3.735494412382865,0.0,4.810664466740497
Slovakia,0.2523453197102123,-0.0447199393540709,0.9978758646079544,1.009166002273559,0.0,2.962195264134456,0.0,2.766420746292044,0.0,2.976091348958948,0.0,4.866056781060648
Philippines,2.462153862645004,1.0154644833513733,-0.2310354729632867,1.0063277959823609,1.6453848552036283,3.2537933311795766,0.0,2.638432424927738,0.0,2.193043221764741,0.0,4.530936465717503
Singapore,0.0009806319139897,0.000120866796351,0.9981369435726224,1.0025619685458895,0.0,1.0178974340115967,0.0,1.254277158185722,0.0,2.985652411484066,0.0,1.949296610408031
Puerto_Rico,0.4192277974458954,7.135831478488619e-07,0.001377992921735,1.0023282170295715,0.0,1.8150489655097344,0.0,1.1141691848417383,0.0,1.757758211143206,0.0,3.859213576379368
Bahrain,0.3870664374867765,0.9998971816276816,0.0001028283804771,1.0011459589004517,0.0,1.6212020296670742,0.0,2.0050934671797016,0.0,1.1407982460113593,0.0,4.046436232644751
Tajikistan,0.995559573173523,0.0001028283804771,0.007400631904602,1.0007564401765594,0.0,2.161341838870551,0.0,1.1655616513913725,0.0,2.6926268977309564,0.0,3.0882463919508387
Hong_Kong,0.001035379264813,0.7974974529282923,2.4303162425900693,1.0006581306457516,0.0,1.7662311861726427,0.0,1.9964192635694156,0.0,4.904783593829099,0.0,6.041748338104603
Costa_Rica,0.9960529804229736,0.0003361680719535,0.0006723361439071,1.0003361304601035,0.0,2.468070921920267,0.0,1.2457496177278995,0.0,2.5627203173018187,0.0,2.237890563576637
Botswana,0.0003361680719535,0.9980264999399164,0.0019735097885131,1.0003361304601035,0.0,1.274814227796912,0.0,2.2496069111626897,0.0,1.393327216802536,0.0,2.304236912611006
Saudi_Arabia,0.0,0.0039469995031337,0.9996638695398968,1.0003361301363407,0.0,1.6752557491653036e-05,0.0,1.239663356288874,0.0,2.227144224801119,0.0,2.223668930952585
Qatar,7.973730680532753e-05,0.402822499434964,0.9999722733861216,1.000205633494981,0.0,1.9431643394463387,0.0,1.5664441510448626,0.0983983366967037,1.906655301073921,0.0,2.8381678155087444
Vietnam,0.0001028283804771,0.9997478718407368,0.0002521260175853,1.0001028175640363,0.0,1.1607655535939585,0.0,2.0795856730067555,0.0,1.2480378596709447,0.0,2.053110131876857
